"","study_name","id","lambda.best","alpha.best","eta.best","delta.best"
"361","Chib2014","2",13.111,402.45,0.35329,NA
"362","Frydman2014","2",2284.5,0.50205,300.3,NA
"363","Gloeckner2012","2",0.14319,0.018312,0.0057246,1.5044
"364","Kocher2011","2",74069.5314270188,3.99331903550209,-0.715933851062345,0.179460279592915
"365","Lorains2014","2",1.0067,0.029779,8.0724e+99,NA
"366","Pahlke2012","2",8.7188e-14,0.11719,0.24552,NA
"367","Pighin2014","2",2.33753615987276,0.815525215110808,1.35129615771249,NA
"368","Rieskamp2008","2",0.72727,0.75546,0.068219,0.73663
"369","Sokol_Hessner2014","2",1.204,1.3243,0.67067,NA
"370","Tom2007","2",1.0138,0.013424,1457.7,NA
"371","Vrecko2012","2",1.106,0.85541,2.9667,0.86296
"372","Zeisberger2012","2",1.198523977,0.808565532,5.79667951,0.759233859
"373","Canessa2013","20",1.91849333463332,1.37632369825386,0.0951979925896512,NA
"374","Chib2014","20",1.87109129987118,0.960735439291633,0.997192456555772,NA
"375","Frydman2014","20",3752295.91615201,0.873725736741656,1.70697685653849,NA
"376","Gloeckner2012","20",0.010123,0.26112,0.0081156,1.5349
"377","Kocher2011","20",4.14648006150825,0.910275721152555,1.23675271382776,0.837372099288374
"378","Lorains2014","20",2.0858,12.293,3.2235,NA
"379","Pighin2014","20",2.35813643977337,1.43111978619761,0.341662094179482,NA
"380","Rieskamp2008","20",1.82703811667821,1.93811227496601,0.151385845277516,0.461913096199213
"381","Sokol_Hessner2014","20",1.407,0.9636,0.80702,NA
"382","Vrecko2012","20",0.66277,0.78341,3.5918,0.43104
"383","Zeisberger2012","20",0.76026,0.73233,5.1736,0.66337
"384","Vrecko2012","200",0.005193666,1.980533964,7.484167713,0.318182541
"385","Vrecko2012","201",1.098929361,0.965926782,2.376601464,1.120281565
"386","Pahlke2012","202",1.73468114447821,1.14034611924776,1.85777628375426,1.33345036935451
"387","Vrecko2012","202",1,1,6.9405e-15,1
"388","Vrecko2012","203",0.999523145,1.317741655,7.122384129,0.457349267
"389","Pahlke2012","204",2.27570479982691,6.94801874478595e-08,0.78378860859847,0.654637976020909
"390","Vrecko2012","204",0.754892035,0.867572878,3.256627468,0.535768596
"391","Vrecko2012","205",0.60737,0.91415,4.3745,0.76114
"392","Pahlke2012","206",1,1,436890,NA
"393","Vrecko2012","206",0.80731,1.19,2.6302,0.76309
"394","Pahlke2012","207",1.18430950484795,1.02562148682621,2.51382803371753,1.13045226463336
"395","Vrecko2012","207",2.0777,0.78244,1.647,0.52169
"396","Pahlke2012","208",1.85112242288453,0.841030161454616,0.692793928021086,0.999717476953651
"397","Vrecko2012","208",1,1,6.9405e-15,1
"398","Pahlke2012","209",1,1,362570,NA
"399","Vrecko2012","209",2.8628e-12,1.5089,9.7157,0.34575
"400","Canessa2013","21",4.9411,5.4946,0.046999,NA
"401","Chib2014","21",1.502,0.93198,1.0911,NA
"402","Frydman2014","21",1.51246340787055,0.967484648373228,1.91469314564162,NA
"403","Gloeckner2012","21",0.00013517,0.34857,0.0087626,2.562
"404","Kocher2011","21",54.134,179.64,0.1346,0.0040394
"405","Lorains2014","21",1.82892363833725,1.33208762577289,0.277869106173487,NA
"406","Pahlke2012","21",10012.5484968164,5.72411962880378,-0.255142410058979,5.13822070040431
"407","Pighin2014","21",1.1813,0.10159,3.07e+12,NA
"408","Rieskamp2008","21",0.62636,1.0057,0.088027,0.52226
"409","Sokol_Hessner2014","21",0.18414,1.1442,0.33204,NA
